Store,Model,Price,Image_URL,Shop_Link
高雄店,【高雄店】2019 光陽 GP 125 #9822,34000,https://cdn.store-assets.com/s/1336053/i/99143912.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-光陽-gp-125-9822-
高雄店,【高雄店】2019 光陽 GP125 ABS #3728,36000,https://cdn.store-assets.com/s/1336053/i/99140332.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-光陽-gp125-abs-3728
高雄店,【高雄店】2013 PGO JBUBU 115 #5620,34000,https://cdn.store-assets.com/s/1336053/i/99139285.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2013-pgo-jbubu-115-5620
高雄店,【高雄店】2019 光陽 XSENSE 紳士 125 #1236,36000,https://cdn.store-assets.com/s/1336053/i/99105012.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-光陽-xsense-紳士-125-1236-
高雄店,【高雄店】2019 三陽SYM Mii (鼓煞) #1873,32000,https://cdn.store-assets.com/s/1336053/i/99015264.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-三陽sym-mii-鼓煞-1873
高雄店,【高雄店】2022 山葉YAMAHA Force2.0 (雙碟)(ABS+TCS) #9119,68000,https://cdn.store-assets.com/s/1336053/i/99013277.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-山葉yamaha-force2-0-雙碟-abs-tcs-9119
高雄店,【高雄店】2024 睿能 GOGORO VIVA XL #1928 (現況車),43000,https://cdn.store-assets.com/s/1336053/i/98944739.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2024-睿能-gogoro-viva-xl-1928-現況車-
高雄店,【高雄店】2020 睿能 GOGORO 2 DELIGHT #2838 (現況車),26000,https://cdn.store-assets.com/s/1336053/i/98928156.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2020-睿能-gogoro-2-delight-2838-現況車-
高雄店,【高雄店】2017 三陽 金發財 125 #1280,42000,https://cdn.store-assets.com/s/1336053/i/98927255.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2017-光陽-金發財-125-1280-
高雄店,【高雄店】2022 三陽 野狼傳奇125 循環檔#3111,52000,https://cdn.store-assets.com/s/1336053/i/98687069.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-三陽-野狼傳奇125-3111-
高雄店,【高雄店】2019 睿能 GOGORO 3 鑰匙版 #6681(現況車),15000,https://cdn.store-assets.com/s/1336053/i/98531710.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-睿能-gogoro-3-鑰匙版-6681-現況車-
高雄店,【高雄店】2023 三陽 4MICA 125 #0258,65000,https://cdn.store-assets.com/s/1336053/i/98530049.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2023-三陽-4mica-125-0258-
高雄店,【高雄店】2022 光陽 Like 哥倫布Colombo #6318,58000,https://cdn.store-assets.com/s/1336053/i/98468814.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-光陽-like-colombo-6318-
高雄店,【高雄店】2011 三陽 T1 150 #382,28000,https://cdn.store-assets.com/s/1336053/i/98366802.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2011-三陽-t1-150-382-
